iter	Passed	Remaining
0	40795	10158131
1	85825	10642333
2	128362	10568541
3	160807	9889665
4	195338	9571589
5	222707	9056751
6	261609	9081589
7	296130	8957957
8	331631	8880355
9	373842	8972216
10	408789	8881875
11	452049	8965642
12	484339	8829879
13	530309	8939501
14	570390	8936123
15	610247	8924874
16	647653	8876657
17	688774	8877533
18	722036	8778441
19	758747	8725592
20	795164	8671084
21	833492	8638017
22	869197	8578596
23	906116	8532592
24	948922	8540301
25	995596	8577447
26	1035290	8550735
27	1076827	8537703
28	1116984	8512195
29	1156225	8478987
30	1203708	8503618
31	1243575	8471856
32	1283165	8437785
33	1321124	8393025
34	1357108	8336520
35	1400552	8325508
36	1437886	8277560
37	1469015	8195557
38	1512804	8184659
39	1556297	8170559
40	1588981	8099929
41	1632566	8085089
42	1668488	8032028
43	1703217	7974153
44	1737472	7915153
45	1784836	7915363
46	1829597	7902302
47	1868490	7863231
48	1908319	7828004
49	1950136	7800545
50	1984634	7743967
51	2017181	7680804
52	2059202	7654018
53	2092761	7595949
54	2140731	7589867
55	2182309	7560143
56	2217797	7509385
57	2244004	7428428
58	2279727	7380134
59	2321346	7350929
60	2362758	7320677
61	2405354	7293656
62	2443519	7252986
63	2481071	7210614
64	2522166	7178472
65	2560070	7137167
66	2587505	7067366
67	2627440	7032268
68	2673788	7013851
69	2712984	6976246
70	2759919	6958106
71	2793696	6906639
72	2826208	6852588
73	2861088	6804751
74	2899818	6766242
75	2934629	6718757
76	2974521	6683015
77	3006626	6629997
78	3047454	6596388
79	3087388	6560699
80	3125228	6520538
81	3163095	6480488
82	3194350	6427187
83	3228081	6379303
84	3263227	6334500
85	3301737	6296336
86	3336873	6251842
87	3375654	6214273
88	3409729	6168163
89	3446762	6127577
90	3486410	6091641
91	3521739	6048205
92	3560873	6011366
93	3596909	5969339
94	3634768	5930412
95	3666083	5881008
96	3703184	5841105
97	3737141	5796383
98	3781139	5767192
99	3814844	5722266
100	3851337	5681676
101	3891116	5645933
102	3925086	5601821
103	3966643	5568557
104	4008527	5535586
105	4054489	5507986
106	4091546	5468142
107	4137414	5439933
108	4181189	5408694
109	4217838	5368158
110	4257094	5330956
111	4290491	5286498
112	4324817	5243363
113	4366658	5209346
114	4398965	5164003
115	4430839	5118383
116	4465270	5075905
117	4497977	5031635
118	4538196	4995829
119	4576998	4958414
120	4611391	4916276
121	4647571	4876141
122	4687770	4840218
123	4729544	4805827
124	4760833	4760833
125	4797800	4721645
126	4834846	4682567
127	4879174	4650463
128	4919555	4614467
129	4964492	4582608
130	5006975	4548320
131	5048944	4513450
132	5093747	4480965
133	5131970	4442601
134	5169739	4403852
135	5199149	4358110
136	5238835	4321083
137	5276909	4282709
138	5313062	4242804
139	5345737	4200222
140	5379992	4159001
141	5416433	4119541
142	5457766	4083783
143	5485772	4038138
144	5526694	4002088
145	5564910	3964045
146	5599407	3923394
147	5633705	3882688
148	5675823	3847370
149	5713429	3808952
150	5756374	3774046
151	5795387	3736499
152	5830583	3696513
153	5871099	3659906
154	5898945	3615482
155	5941300	3580014
156	5982163	3543574
157	6016122	3503058
158	6054692	3465264
159	6099103	3430745
160	6139567	3393922
161	6171388	3352359
162	6213736	3316534
84	4155492
162	7695930	4107643
163	7756977	4067683
164	7793992	4015087
165	7844354	3969432
166	7884600	3918693
167	7927341	3869297
168	7985743	3827486
169	8028044	3777903
170	8083431	3734450
171	8138743	3690825
172	8179640	3640649
173	8235806	3597248
174	8274466	3546199
175	8337954	3505730
176	8387650	3459313
177	8449755	3417878
178	8495599	3369762
179	8540279	3321219
180	8603720	3279871
181	8649100	3231532
182	8692913	3182651
183	8750459	3138751
184	8794064	3089806
185	8844993	3043438
186	8887498	2994183
187	8941412	2948763
188	8997631	2903997
189	9047198	2857009
190	9088344	2807394
191	9139032	2760749
192	9181579	2711658
193	9236643	2666247
194	9272009	2615182
195	9312552	2565703
196	9357660	2517543
197	9418360	2473508
198	9463788	2425393
199	9501931	2375482
200	9545614	2327040
201	9591686	2279212
202	9637549	2231353
203	9676748	2182011
204	9725462	2134857
205	9769537	2086697
206	9823560	2040642
207	9874674	1993924
208	9917828	1945602
209	9960942	1897322
210	9999859	1848315
211	10053551	1802051
212	10106699	1755623
213	10149231	1707347
214	10204808	1661247
215	10239066	1611704
216	10296926	1565892
217	10363774	1521287
218	10410965	1473698
219	10457798	1426063
220	10513609	1379613
221	10564976	1332519
222	10601166	1283549
223	10652961	1236504
224	10713202	1190355
225	10754963	1142119
226	10791880	1093450
227	10843946	1046345
