,roc_auc,tp,fp,tn,fn,tpr,tnr,geometric_mean,arithmetic_mean,f1_score,precision,elapsed,minority_size,embedding_type,dropped_columns,max_depth,threshold
0,0.7684,18155,9920559,19858666,6973,0.7225010000000001,0.666863,0.694125,0.694682,0.0036439999999999997,0.001827,1400.854652,0.08431,catboost,nppes_provider_state,8,0.000843
1,0.768628,18529,10299074,19480151,6599,0.7373850000000001,0.6541520000000001,0.694523,0.695768,0.003583,0.001796,1362.498921,0.08431,catboost,nppes_provider_state|hcpcs_code,8,0.000843
2,0.799696,18333,8517313,21261912,6795,0.729585,0.7139850000000001,0.721742,0.721785,0.0042829999999999995,0.002148,1664.058775,0.08431,catboost,none,8,0.000843
3,0.796118,18099,8619898,21159327,7029,0.720272,0.71054,0.715389,0.715406,0.004178,0.002095,1628.644858,0.08431,catboost,hcpcs_code,8,0.000843
4,0.766436,18257,10260655,19518570,6872,0.726531,0.655443,0.690072,0.690987,0.003544,0.0017760000000000002,1361.34899,0.084313,catboost,nppes_provider_state|hcpcs_code,8,0.000843
5,0.806285,18477,8476910,21302315,6652,0.735286,0.715341,0.725245,0.725314,0.004337,0.002175,1439.386469,0.084313,catboost,none,8,0.000843
6,0.802796,18328,8396443,21382782,6801,0.7293569999999999,0.7180439999999999,0.7236779999999999,0.7237,0.004343,0.0021780000000000002,1632.527174,0.084313,catboost,hcpcs_code,8,0.000843
7,0.765471,18396,10346157,19433069,6733,0.732063,0.652571,0.691175,0.692317,0.0035409999999999994,0.001775,1370.5252380000002,0.084313,catboost,nppes_provider_state|hcpcs_code,8,0.000843
8,0.800797,18391,8574247,21204979,6738,0.7318640000000001,0.712073,0.7219,0.721968,0.004268,0.00214,1470.316417,0.084313,catboost,none,8,0.000843
9,0.786845,17814,8658667,21120559,7315,0.708902,0.709238,0.70907,0.70907,0.0040939999999999995,0.002053,1515.959312,0.084313,catboost,hcpcs_code,8,0.000843
