roc_auc,tp,fp,tn,fn,tpr,tnr,geometric_mean,elapsed,minority_size,embedding_type,dropped_columns,max_depth,threshold
0.902443,1232,1321701,2676946,120,0.911243,0.669463,0.781053,1299.636854,0.0338,skipgram,,8,0.000338
0.902092,1210,1262478,2736169,143,0.894309,0.684274,0.782274,1321.796181,0.033825,skipgram,,8,0.000338
0.904647,1234,1318257,2680390,119,0.912047,0.670324,0.7819,1300.985739,0.033825,skipgram,,8,0.000338
0.90892,1242,1342371,2656276,111,0.91796,0.664294,0.780894,1279.47365,0.033825,skipgram,,8,0.000338
0.902011,1233,1368062,2630586,120,0.911308,0.657869,0.774288,1290.311138,0.033825,skipgram,,8,0.000338
0.904953,1191,1242328,2756333,147,0.890135,0.689314,0.783315,1292.347359,0.03345,skipgram,,8,0.000335
0.897445,1160,1208051,2790610,178,0.866966,0.697886,0.777845,1275.597129,0.03345,skipgram,,8,0.000335
0.89664,1159,1185575,2813087,179,0.866218,0.703507,0.780635,1309.446703,0.03345,skipgram,,8,0.000334
0.904705,1199,1235542,2763120,140,0.895444,0.691011,0.786614,1471.506139,0.033475,skipgram,,8,0.000335
0.894736,1166,1232137,2766525,173,0.870799,0.691863,0.776192,1429.325696,0.033475,skipgram,,8,0.000335
0.907739,1199,1351297,2647399,105,0.919479,0.662066,0.780228,1209.124563,0.0326,skipgram,,8,0.000326
0.903601,1193,1395329,2603367,111,0.914877,0.651054,0.771774,1208.449728,0.0326,skipgram,,8,0.000326
0.906876,1185,1272970,2725726,119,0.908742,0.681654,0.78705,1216.996671,0.0326,skipgram,,8,0.000326
0.904039,1170,1326100,2672596,134,0.897239,0.668367,0.774393,1215.065521,0.0326,skipgram,,8,0.000326
0.90776,1192,1301726,2696970,112,0.91411,0.674462,0.785196,1220.524519,0.0326,skipgram,,8,0.000326
0.912005,1206,1288345,2710344,104,0.920611,0.677808,0.789935,1223.503567,0.03275,skipgram,,8,0.000328
0.912722,1206,1334023,2664666,104,0.920611,0.666385,0.78325,1334.161031,0.03275,skipgram,,8,0.000328
0.904328,1191,1336340,2662350,119,0.90916,0.665806,0.778026,1123.579924,0.03275,skipgram,,8,0.000328
0.913001,1199,1286123,2712567,112,0.914569,0.678364,0.787661,1226.466996,0.032775,skipgram,,8,0.000328
0.912663,1184,1206269,2792421,127,0.903127,0.698334,0.794156,1127.910575,0.032775,skipgram,,8,0.000328
0.902386,1151,1255727,2742977,145,0.888117,0.685967,0.780525,1134.873732,0.0324,skipgram,,8,0.000324
0.897591,1144,1235831,2762873,152,0.882716,0.690942,0.780965,1134.338891,0.0324,skipgram,,8,0.000324
0.9075,1187,1319746,2678958,109,0.915895,0.669957,0.783333,1122.478547,0.0324,skipgram,,8,0.000324
0.91097,1185,1329955,2668749,111,0.914352,0.667403,0.78118,1129.249184,0.0324,skipgram,,8,0.000324
0.899004,1180,1351086,2647618,116,0.910494,0.662119,0.776438,1133.578893,0.0324,skipgram,,8,0.000324
