roc_auc,tp,fp,tn,fn,tpr,tnr,geometric_mean,elapsed,minority_size,embedding_type,dropped_columns,max_depth,threshold,l2_reg,l1_reg
0.843439,2245,1389973,2607382,399,0.849092,0.652277,0.744206,387.29416,0.0661,onehot,state_code,4,0.000661,,
0.849826,2273,1375879,2621476,372,0.859357,0.655803,0.750712,371.051277,0.066125,onehot,state_code,4,0.000661,,
0.917589,2403,1138434,2858962,201,0.922811,0.715206,0.812404,776.379909,0.0651,onehot,state_code,8,0.000651,,
0.914313,2349,1177545,2819911,195,0.923349,0.705426,0.807066,773.986259,0.0636,onehot,state_code,8,0.000636,2.0,
0.848703,2269,1386568,2610787,376,0.857845,0.653129,0.748521,388.52564,0.066125,onehot,state_code,4,0.000661,,
0.922434,2380,1082091,2915305,224,0.913978,0.729301,0.816435,771.63883,0.0651,onehot,state_code,8,0.000651,,
0.84665,2286,1385254,2612101,359,0.864272,0.653457,0.751509,380.289907,0.066125,onehot,state_code,4,0.000661,,
0.915254,2337,1137674,2859782,207,0.918632,0.7154,0.810672,783.328766,0.0636,onehot,state_code,8,0.000636,2.0,
0.847513,2282,1395341,2602015,363,0.86276,0.650934,0.7494,373.958872,0.066125,onehot,state_code,4,0.000661,,
0.920872,2411,1123416,2873980,193,0.925883,0.718963,0.81589,756.041255,0.0651,onehot,state_code,8,0.000651,,
0.912575,2344,1195573,2801883,200,0.921384,0.700917,0.803625,784.71387,0.0636,onehot,state_code,8,0.000636,2.0,
0.848377,2231,1373162,2624247,359,0.86139,0.656487,0.751992,370.277353,0.06475,onehot,state_code,4,0.000648,,
0.852059,2239,1361495,2635914,351,0.864479,0.659406,0.755011,384.04192,0.06475,onehot,state_code,4,0.000648,,
0.920931,2425,1125514,2871882,179,0.93126,0.718438,0.817956,763.833122,0.0651,onehot,state_code,8,0.000651,,
0.915963,2347,1187423,2810033,197,0.922563,0.702955,0.805308,791.202271,0.0636,onehot,state_code,8,0.000636,2.0,
0.853193,2248,1350532,2646878,342,0.867954,0.662148,0.758099,369.989326,0.06475,onehot,state_code,4,0.000648,,
0.84801,2247,1404420,2592990,344,0.867233,0.648668,0.75003,379.924045,0.064775,onehot,state_code,4,0.000648,,
0.92209,2394,1100333,2897063,210,0.919355,0.724738,0.816266,726.861332,0.0651,onehot,state_code,8,0.000651,,
0.913027,2350,1185007,2812449,194,0.923742,0.70356,0.806169,790.866899,0.0636,onehot,state_code,8,0.000636,2.0,
0.852734,2253,1364822,2632588,338,0.869548,0.658573,0.756744,355.879601,0.064775,onehot,state_code,4,0.000648,,
0.857481,2210,1323995,2673435,359,0.860257,0.668788,0.758505,382.398159,0.064225,onehot,state_code,4,0.000642,,
0.914156,2380,1165284,2832136,199,0.922838,0.708491,0.808593,695.119336,0.064475,onehot,state_code,8,0.000645,,
0.853885,2222,1333299,2664131,347,0.864928,0.666461,0.759237,376.664508,0.064225,onehot,state_code,4,0.000642,,
0.913419,2440,1205834,2791554,171,0.934508,0.698345,0.807842,766.513526,0.065275,onehot,state_code,8,0.000653,2.0,
0.919679,2401,1152390,2845031,178,0.930981,0.711717,0.813999,721.56214,0.064475,onehot,state_code,8,0.000645,,
0.858248,2187,1273716,2723714,383,0.850973,0.681366,0.761462,373.618756,0.06425,onehot,state_code,4,0.000643,,
0.859858,2202,1300758,2696673,368,0.856809,0.674602,0.760266,381.505484,0.06425,onehot,state_code,4,0.000642,,
0.912511,2397,1163417,2833972,214,0.918039,0.708956,0.806752,793.899504,0.065275,onehot,state_code,8,0.000653,2.0,
0.916959,2386,1145535,2851886,193,0.925165,0.713431,0.812429,721.946369,0.064475,onehot,state_code,8,0.000645,,
0.859501,2205,1267408,2730023,365,0.857977,0.682944,0.765474,374.073059,0.06425,onehot,state_code,4,0.000642,,
0.915566,2424,1135696,2861693,187,0.92838,0.715891,0.815241,767.340659,0.065275,onehot,state_code,8,0.000653,2.0,
